lap_key,Driver,Team,season,session_key,best_own_other_team_similarity,best_other_driver_similarity,own_style_margin
2018_r02_Q_HAM_lap12,HAM,Mercedes,2018,2018_2_Q,0.13783886192968028,0.5309251031194012,-0.3930862411897209
2018_r02_Q_OCO_lap15,OCO,Force India,2018,2018_2_Q,0.7082832669443702,0.5898049649178952,0.11847830202647491
2018_r02_Q_RIC_lap11,RIC,Red Bull Racing,2018,2018_2_Q,0.6447501056322246,0.5465831025966303,0.09816700303559422
2018_r02_Q_SAI_lap11,SAI,Renault,2018,2018_2_Q,0.4773673741399122,0.8156194630979907,-0.3382520889580785
2018_r02_Q_VET_lap11,VET,Ferrari,2018,2018_2_Q,0.2833356505984237,0.6127410101313221,-0.3294053595328984
2018_r03_Q_ALO_lap10,ALO,McLaren,2018,2018_3_Q,0.30303374328279187,0.37970385946606844,-0.07667011618327657
2018_r03_Q_BOT_lap15,BOT,Mercedes,2018,2018_3_Q,0.31959175112888893,0.49112110772108897,-0.17152935659220003
2018_r03_Q_GAS_lap8,GAS,Toro Rosso,2018,2018_3_Q,0.4790469979316909,0.583066622521527,-0.10401962458983605
2018_r03_Q_HAM_lap14,HAM,Mercedes,2018,2018_3_Q,0.13678853333882576,0.42834206703466743,-0.2915535336958417
2018_r03_Q_OCO_lap8,OCO,Force India,2018,2018_3_Q,0.6843633804866787,0.70378653354749,-0.019423153060811327
2018_r03_Q_RIC_lap8,RIC,Red Bull Racing,2018,2018_3_Q,0.5454172380885813,0.5133832653799938,0.032033972708587544
2018_r03_Q_SAI_lap17,SAI,Renault,2018,2018_3_Q,0.34761058287395324,0.6125282906451692,-0.264917707771216
2018_r03_Q_VET_lap13,VET,Ferrari,2018,2018_3_Q,-0.037108666711711605,0.6961216004149102,-0.7332302671266219
2018_r04_Q_ALO_lap15,ALO,McLaren,2018,2018_4_Q,0.5677591717540719,0.3685273275099593,0.19923184424411255
2018_r04_Q_BOT_lap19,BOT,Mercedes,2018,2018_4_Q,0.0610931210342132,0.32751485606287006,-0.26642173502865685
2018_r04_Q_GAS_lap4,GAS,Toro Rosso,2018,2018_4_Q,0.5476188959563637,0.4820980863738773,0.0655208095824864
2018_r04_Q_HAM_lap19,HAM,Mercedes,2018,2018_4_Q,0.43664247378897714,0.5558641254451131,-0.11922165165613596
2018_r04_Q_OCO_lap13,OCO,Force India,2018,2018_4_Q,0.8533175774326744,0.4313215281335162,0.42199604929915824
2018_r04_Q_RIC_lap19,RIC,Red Bull Racing,2018,2018_4_Q,0.36157433277532486,0.5435669828522481,-0.18199265007692328
2018_r04_Q_SAI_lap19,SAI,Renault,2018,2018_4_Q,0.5197790191384691,0.6282212435474251,-0.10844222440895601
2018_r04_Q_VET_lap4,VET,Ferrari,2018,2018_4_Q,0.5394849030274852,0.5479992841064107,-0.008514381078925548
2018_r05_Q_ALO_lap20,ALO,McLaren,2018,2018_5_Q,0.6194377999817193,0.4010457647352802,0.21839203524643913
2018_r05_Q_BOT_lap12,BOT,Mercedes,2018,2018_5_Q,0.07865058559983727,0.5145775426180977,-0.43592695701826045
2018_r05_Q_GAS_lap12,GAS,Toro Rosso,2018,2018_5_Q,0.4638195916029153,0.7169249689151473,-0.25310537731223204
2018_r05_Q_HAM_lap15,HAM,Mercedes,2018,2018_5_Q,0.4933005781223395,0.37494979005056595,0.11835078807177357
2018_r05_Q_OCO_lap13,OCO,Force India,2018,2018_5_Q,0.8161692363542961,0.6514119607430882,0.1647572756112079
2018_r05_Q_RIC_lap16,RIC,Red Bull Racing,2018,2018_5_Q,0.6589557169643301,0.6882016763084045,-0.029245959344074368
2018_r05_Q_SAI_lap18,SAI,Renault,2018,2018_5_Q,0.2500903127407632,0.5785869926538556,-0.3284966799130924
2018_r05_Q_VET_lap15,VET,Ferrari,2018,2018_5_Q,0.06327465600780309,0.6974538396180191,-0.634179183610216
2018_r06_Q_ALO_lap23,ALO,McLaren,2018,2018_6_Q,0.34960880002679096,0.3970459478124447,-0.04743714778565372
2018_r06_Q_BOT_lap24,BOT,Mercedes,2018,2018_6_Q,0.11372439831294062,0.31314697197472574,-0.19942257366178512
2018_r06_Q_GAS_lap28,GAS,Toro Rosso,2018,2018_6_Q,0.7813703935208567,0.7234378394447454,0.05793255407611131
2018_r06_Q_HAM_lap21,HAM,Mercedes,2018,2018_6_Q,0.272355296139075,0.3176025746264249,-0.045247278487349885
2018_r06_Q_OCO_lap26,OCO,Force India,2018,2018_6_Q,0.8321497831044803,0.5623267388392355,0.26982304426524484
2018_r06_Q_RIC_lap13,RIC,Red Bull Racing,2018,2018_6_Q,0.3897395365436881,0.4408021877153745,-0.0510626511716864
2018_r06_Q_SAI_lap27,SAI,Renault,2018,2018_6_Q,0.7377334011026735,0.655340135973183,0.08239326512949052
2018_r06_Q_VET_lap19,VET,Ferrari,2018,2018_6_Q,0.13313269445841064,0.5793449501764442,-0.4462122557180335
2018_r07_Q_ALO_lap13,ALO,McLaren,2018,2018_7_Q,0.5912300245903978,0.5203871134479632,0.07084291114243457
2018_r07_Q_BOT_lap16,BOT,Mercedes,2018,2018_7_Q,0.11265765523943777,0.5209827121867274,-0.40832505694728966
2018_r07_Q_HAM_lap20,HAM,Mercedes,2018,2018_7_Q,-0.19394262907139695,0.5623546160118645,-0.7562972450832615
2018_r07_Q_OCO_lap13,OCO,Force India,2018,2018_7_Q,0.6702870457791469,0.6659591045445603,0.004327941234586574
2018_r07_Q_RIC_lap17,RIC,Red Bull Racing,2018,2018_7_Q,0.5530030133434476,0.6410291467420977,-0.08802613339865006
2018_r07_Q_SAI_lap5,SAI,Renault,2018,2018_7_Q,0.5750698467256216,0.735806162805173,-0.1607363160795514
2018_r07_Q_VET_lap17,VET,Ferrari,2018,2018_7_Q,0.1085767524267741,0.7421624680154807,-0.6335857155887066
2018_r08_Q_BOT_lap16,BOT,Mercedes,2018,2018_8_Q,-0.10276727666978067,0.4731392723331463,-0.5759065490029269
2018_r08_Q_GAS_lap16,GAS,Toro Rosso,2018,2018_8_Q,0.6514878150239458,0.6925105107566166,-0.04102269573267081
2018_r08_Q_HAM_lap18,HAM,Mercedes,2018,2018_8_Q,0.08128205286179269,0.48292784817985507,-0.4016457953180624
2018_r08_Q_OCO_lap13,OCO,Force India,2018,2018_8_Q,0.838387590779119,0.49591905257115865,0.3424685382079603
2018_r08_Q_RIC_lap15,RIC,Red Bull Racing,2018,2018_8_Q,0.5142978328436707,0.49949132201463314,0.014806510829037556
2018_r08_Q_SAI_lap15,SAI,Renault,2018,2018_8_Q,0.5723076831863194,0.5549141685939325,0.017393514592386916
2018_r08_Q_VET_lap18,VET,Ferrari,2018,2018_8_Q,0.21071612726600197,0.6848927114611612,-0.4741765841951592
2018_r09_Q_ALO_lap7,ALO,McLaren,2018,2018_9_Q,0.49556643272613515,0.4687910896130633,0.026775343113071837
2018_r09_Q_BOT_lap16,BOT,Mercedes,2018,2018_9_Q,-0.20803647677301612,0.4727871690803376,-0.6808236458533536
2018_r09_Q_GAS_lap11,GAS,Toro Rosso,2018,2018_9_Q,0.6653502999429418,0.7290584309698045,-0.06370813102686268
2018_r09_Q_HAM_lap19,HAM,Mercedes,2018,2018_9_Q,0.1716390508479855,0.2998278800459395,-0.12818882919795402
2018_r09_Q_OCO_lap18,OCO,Force India,2018,2018_9_Q,0.8651999989364427,0.477102769019673,0.3880972299167697
2018_r09_Q_RIC_lap18,RIC,Red Bull Racing,2018,2018_9_Q,0.5524478634487782,0.6110833413120114,-0.0586354778632332
2018_r09_Q_SAI_lap10,SAI,Renault,2018,2018_9_Q,0.4065692696940427,0.5346972796090971,-0.12812800991505435
2018_r09_Q_VET_lap16,VET,Ferrari,2018,2018_9_Q,0.33423709882809194,0.7144641773657022,-0.3802270785376103
2019_r10_Q_BOT_lap16,BOT,Mercedes,2019,2019_10_Q,-0.28314052594685013,0.7549144859378024,-1.0380550118846525
2019_r10_Q_GAS_lap20,GAS,Red Bull Racing,2019,2019_10_Q,0.6510918349927592,0.4403175387749273,0.21077429621783195
2019_r10_Q_HAM_lap15,HAM,Mercedes,2019,2019_10_Q,0.0982511355193608,0.5987356258701197,-0.5004844903507589
2019_r10_Q_RIC_lap20,RIC,Renault,2019,2019_10_Q,0.2793124423386798,0.6987692246642647,-0.4194567823255849
2019_r10_Q_SAI_lap4,SAI,McLaren,2019,2019_10_Q,0.09856790271458053,0.6014958571214436,-0.5029279544068631
2019_r10_Q_VET_lap15,VET,Ferrari,2019,2019_10_Q,0.36823239561625665,0.6290469983399887,-0.260814602723732
2019_r11_Q_BOT_lap18,BOT,Mercedes,2019,2019_11_Q,-0.22514746779203207,0.4851080818048287,-0.7102555495968608
2019_r11_Q_GAS_lap14,GAS,Red Bull Racing,2019,2019_11_Q,-0.2102599143858409,0.5552395377292497,-0.7654994521150906
2019_r11_Q_HAM_lap15,HAM,Mercedes,2019,2019_11_Q,0.17480835387347962,0.6555560815552925,-0.48074772768181295
2019_r11_Q_RIC_lap11,RIC,Renault,2019,2019_11_Q,0.36290534174067385,0.7037468207548924,-0.3408414790142185
2019_r11_Q_SAI_lap11,SAI,McLaren,2019,2019_11_Q,0.29125625977874026,0.4418332885021612,-0.15057702872342094
2019_r12_Q_BOT_lap17,BOT,Mercedes,2019,2019_12_Q,-0.37491909693963615,0.6738566000593561,-1.0487756969989923
2019_r12_Q_GAS_lap18,GAS,Red Bull Racing,2019,2019_12_Q,0.29015918743939234,0.6238975399134832,-0.33373835247409084
2019_r12_Q_HAM_lap20,HAM,Mercedes,2019,2019_12_Q,0.20326861112567388,0.6200170306878835,-0.41674841956220965
2019_r12_Q_RIC_lap5,RIC,Renault,2019,2019_12_Q,0.5531798755220256,0.6740153511249821,-0.12083547560295649
2019_r12_Q_SAI_lap19,SAI,McLaren,2019,2019_12_Q,0.34894792206997893,0.7843492560830474,-0.43540133401306846
2019_r12_Q_VET_lap17,VET,Ferrari,2019,2019_12_Q,0.14599428801186004,0.6880289928518302,-0.5420347048399701
2019_r13_Q_BOT_lap18,BOT,Mercedes,2019,2019_13_Q,0.19622507865156175,0.5655511926924087,-0.369326114040847
2019_r13_Q_GAS_lap3,GAS,Toro Rosso,2019,2019_13_Q,0.48952084792096906,0.7511843514423299,-0.2616635035213608
2019_r13_Q_HAM_lap14,HAM,Mercedes,2019,2019_13_Q,0.21539189827923264,0.4887548380725792,-0.2733629397933466
2019_r13_Q_RIC_lap10,RIC,Renault,2019,2019_13_Q,0.44760012868446575,0.5116760366095753,-0.06407590792510953
2019_r13_Q_SAI_lap3,SAI,McLaren,2019,2019_13_Q,0.5215059285712665,0.6055786396675853,-0.08407271109631875
2019_r13_Q_VET_lap9,VET,Ferrari,2019,2019_13_Q,0.08530387668099973,0.7162454271491698,-0.6309415504681701
2019_r14_Q_BOT_lap2,BOT,Mercedes,2019,2019_14_Q,0.30380186722381264,0.5441338405245062,-0.24033197330069356
2019_r14_Q_GAS_lap8,GAS,Toro Rosso,2019,2019_14_Q,0.8099705350011651,0.609000490291486,0.20097004470967916
2019_r14_Q_HAM_lap2,HAM,Mercedes,2019,2019_14_Q,0.111223648671764,0.35373375615512803,-0.24251010748336405
2019_r14_Q_RIC_lap10,RIC,Renault,2019,2019_14_Q,0.47078402001768627,0.6501173817702046,-0.17933336175251835
2019_r14_Q_SAI_lap13,SAI,McLaren,2019,2019_14_Q,0.294186982599122,0.7501479412967423,-0.4559609586976203
2019_r14_Q_VET_lap14,VET,Ferrari,2019,2019_14_Q,0.15612868500491872,0.5507633873472361,-0.39463470234231735
2019_r15_Q_BOT_lap8,BOT,Mercedes,2019,2019_15_Q,-0.3386095771710954,0.506179007724849,-0.8447885848959444
2019_r15_Q_GAS_lap8,GAS,Toro Rosso,2019,2019_15_Q,0.7165328705190587,0.6149985745273555,0.10153429599170316
2019_r15_Q_HAM_lap17,HAM,Mercedes,2019,2019_15_Q,0.4480822632798963,0.5464325235426004,-0.0983502602627041
2019_r15_Q_RIC_lap17,RIC,Renault,2019,2019_15_Q,0.4438354216049915,0.5487207347718459,-0.1048853131668544
2019_r15_Q_SAI_lap18,SAI,McLaren,2019,2019_15_Q,0.8023034904143735,0.6767890949217288,0.12551439549264476
2019_r15_Q_VET_lap13,VET,Ferrari,2019,2019_15_Q,0.07223455028939403,0.6799468459609879,-0.6077122956715938
2019_r16_Q_BOT_lap15,BOT,Mercedes,2019,2019_16_Q,0.05648732067122292,0.5954227158406502,-0.5389353951694273
2019_r16_Q_GAS_lap10,GAS,Toro Rosso,2019,2019_16_Q,0.6359300213959754,0.8174083282485878,-0.18147830685261235
2019_r16_Q_HAM_lap17,HAM,Mercedes,2019,2019_16_Q,0.19601512998284146,0.4154294728629238,-0.21941434288008235
2019_r16_Q_RIC_lap17,RIC,Renault,2019,2019_16_Q,0.41800409147377454,0.6099982806474813,-0.19199418917370675
2019_r16_Q_SAI_lap19,SAI,McLaren,2019,2019_16_Q,0.48689498645505547,0.4244966685672875,0.06239831788776795
2019_r16_Q_VET_lap20,VET,Ferrari,2019,2019_16_Q,0.14103449614152863,0.76568306096229,-0.6246485648207614
2019_r17_Q_BOT_lap20,BOT,Mercedes,2019,2019_17_Q,0.26775256699287675,0.5715187755212512,-0.30376620852837444
2019_r17_Q_GAS_lap14,GAS,Toro Rosso,2019,2019_17_Q,0.4881021381523811,0.6579354200986454,-0.16983328194626424
2019_r17_Q_HAM_lap19,HAM,Mercedes,2019,2019_17_Q,0.38235934199408006,0.3736716253367197,0.008687716657360345
2019_r17_Q_RIC_lap7,RIC,Renault,2019,2019_17_Q,0.5199219045988719,0.5427193523421745,-0.022797447743302612
2019_r17_Q_SAI_lap20,SAI,McLaren,2019,2019_17_Q,0.05552873822566727,0.6732863108091253,-0.617757572583458
2019_r17_Q_VET_lap15,VET,Ferrari,2019,2019_17_Q,0.02459521248437277,0.7311567643138956,-0.7065615518295228
2019_r18_Q_BOT_lap15,BOT,Mercedes,2019,2019_18_Q,-0.24900960724824367,0.24508651747645557,-0.4940961247246992
2019_r18_Q_GAS_lap21,GAS,Toro Rosso,2019,2019_18_Q,0.41866695201268,0.7152212732243287,-0.2965543212116487
2019_r18_Q_HAM_lap19,HAM,Mercedes,2019,2019_18_Q,0.3259363478896268,0.5699575108274836,-0.2440211629378568
2019_r18_Q_RIC_lap13,RIC,Renault,2019,2019_18_Q,0.5736970744804852,0.6342467515990848,-0.0605496771185996
2019_r18_Q_SAI_lap18,SAI,McLaren,2019,2019_18_Q,0.16882706371953307,0.38066570127499216,-0.2118386375554591
2019_r18_Q_VET_lap13,VET,Ferrari,2019,2019_18_Q,0.07076709661944751,0.7042246274613657,-0.6334575308419182
2019_r19_Q_BOT_lap13,BOT,Mercedes,2019,2019_19_Q,0.1308620156889289,0.3933224033428826,-0.2624603876539537
2019_r19_Q_GAS_lap7,GAS,Toro Rosso,2019,2019_19_Q,0.6461592094878431,0.8049295506461632,-0.15877034115832012
2019_r19_Q_HAM_lap14,HAM,Mercedes,2019,2019_19_Q,0.4136899110487411,0.47515278640630637,-0.06146287535756528
2019_r19_Q_RIC_lap14,RIC,Renault,2019,2019_19_Q,0.7897635461649841,0.5962706998941611,0.19349284627082297
2019_r19_Q_SAI_lap11,SAI,McLaren,2019,2019_19_Q,0.40455928357518245,0.6024931324260254,-0.19793384885084297
2019_r19_Q_VET_lap12,VET,Ferrari,2019,2019_19_Q,0.3884352776870099,0.681505602772071,-0.29307032508506103
2019_r01_Q_BOT_lap15,BOT,Mercedes,2019,2019_1_Q,-0.3711474868073274,0.5872972201217396,-0.9584447069290669
2019_r01_Q_GAS_lap2,GAS,Red Bull Racing,2019,2019_1_Q,0.6796256744313476,0.5220350059865773,0.15759066844477032
2019_r01_Q_HAM_lap17,HAM,Mercedes,2019,2019_1_Q,0.4001696677026792,0.626537941777193,-0.22636827407451382
2019_r01_Q_RIC_lap11,RIC,Renault,2019,2019_1_Q,0.23662479139630818,0.8319505038572129,-0.5953257124609047
2019_r01_Q_SAI_lap5,SAI,McLaren,2019,2019_1_Q,0.34623748297731816,0.6555779761960158,-0.3093404932186976
2019_r01_Q_VET_lap15,VET,Ferrari,2019,2019_1_Q,-0.06902480626418403,0.593331432307474,-0.662356238571658
2019_r20_Q_BOT_lap13,BOT,Mercedes,2019,2019_20_Q,-0.036660070433528966,0.5317694252649792,-0.5684294956985081
2019_r20_Q_GAS_lap12,GAS,Toro Rosso,2019,2019_20_Q,0.43567871938150343,0.6263634601563134,-0.19068474077480996
2019_r20_Q_HAM_lap15,HAM,Mercedes,2019,2019_20_Q,0.21716480916591255,0.5541773638582557,-0.33701255469234315
2019_r20_Q_RIC_lap8,RIC,Renault,2019,2019_20_Q,0.673789434362154,0.7670781207786305,-0.09328868641647647
2019_r20_Q_VET_lap11,VET,Ferrari,2019,2019_20_Q,0.25556333288576993,0.5286222374277253,-0.27305890454195536
2019_r21_Q_BOT_lap14,BOT,Mercedes,2019,2019_21_Q,-0.3896392418143844,0.586681022938701,-0.9763202647530853
2019_r21_Q_GAS_lap11,GAS,Toro Rosso,2019,2019_21_Q,0.5390122185849148,0.4475694284640435,0.09144279012087125
2019_r21_Q_HAM_lap17,HAM,Mercedes,2019,2019_21_Q,0.043928175434848955,0.6172682731133138,-0.5733400976784648
2019_r21_Q_RIC_lap14,RIC,Renault,2019,2019_21_Q,0.4822717708838403,0.6964930409922453,-0.21422127010840497
2019_r21_Q_SAI_lap10,SAI,McLaren,2019,2019_21_Q,0.6247314435996146,0.750689930355931,-0.12595848675631638
2019_r21_Q_VET_lap12,VET,Ferrari,2019,2019_21_Q,0.442120754078937,0.4753728343838503,-0.033252080304913334
2019_r02_Q_BOT_lap14,BOT,Mercedes,2019,2019_2_Q,0.29391512193376673,0.44727056689273365,-0.1533554449589669
2019_r02_Q_GAS_lap8,GAS,Red Bull Racing,2019,2019_2_Q,0.6677327045622456,0.647464182813425,0.020268521748820656
