experiment,model,true_driver,pred_driver,count
experiment_a_with_time_features,logistic_regression,GAS,OCO,5
experiment_a_with_time_features,logistic_regression,GAS,PIA,2
experiment_a_with_time_features,logistic_regression,GAS,RUS,4
experiment_a_with_time_features,logistic_regression,GAS,SAI,0
experiment_a_with_time_features,logistic_regression,GAS,STR,2
experiment_a_with_time_features,logistic_regression,GAS,TSU,6
experiment_a_with_time_features,logistic_regression,GAS,VER,5
experiment_a_with_time_features,logistic_regression,HAM,ALB,0
experiment_a_with_time_features,logistic_regression,HAM,ALO,1
experiment_a_with_time_features,logistic_regression,HAM,GAS,0
experiment_a_with_time_features,logistic_regression,HAM,HAM,31
experiment_a_with_time_features,logistic_regression,HAM,HUL,2
experiment_a_with_time_features,logistic_regression,HAM,LEC,4
experiment_a_with_time_features,logistic_regression,HAM,NOR,0
experiment_a_with_time_features,logistic_regression,HAM,OCO,2
experiment_a_with_time_features,logistic_regression,HAM,PIA,1
experiment_a_with_time_features,logistic_regression,HAM,RUS,4
experiment_a_with_time_features,logistic_regression,HAM,SAI,4
experiment_a_with_time_features,logistic_regression,HAM,STR,4
experiment_a_with_time_features,logistic_regression,HAM,TSU,1
experiment_a_with_time_features,logistic_regression,HAM,VER,1
experiment_a_with_time_features,logistic_regression,HUL,ALB,3
experiment_a_with_time_features,logistic_regression,HUL,ALO,1
experiment_a_with_time_features,logistic_regression,HUL,GAS,3
experiment_a_with_time_features,logistic_regression,HUL,HAM,1
experiment_a_with_time_features,logistic_regression,HUL,HUL,27
experiment_a_with_time_features,logistic_regression,HUL,LEC,1
experiment_a_with_time_features,logistic_regression,HUL,NOR,1
experiment_a_with_time_features,logistic_regression,HUL,OCO,3
experiment_a_with_time_features,logistic_regression,HUL,PIA,0
experiment_a_with_time_features,logistic_regression,HUL,RUS,6
experiment_a_with_time_features,logistic_regression,HUL,SAI,2
experiment_a_with_time_features,logistic_regression,HUL,STR,1
experiment_a_with_time_features,logistic_regression,HUL,TSU,2
experiment_a_with_time_features,logistic_regression,HUL,VER,4
experiment_a_with_time_features,logistic_regression,LEC,ALB,0
experiment_a_with_time_features,logistic_regression,LEC,ALO,0
experiment_a_with_time_features,logistic_regression,LEC,GAS,0
experiment_a_with_time_features,logistic_regression,LEC,HAM,5
experiment_a_with_time_features,logistic_regression,LEC,HUL,2
experiment_a_with_time_features,logistic_regression,LEC,LEC,43
experiment_a_with_time_features,logistic_regression,LEC,NOR,0
experiment_a_with_time_features,logistic_regression,LEC,OCO,2
experiment_a_with_time_features,logistic_regression,LEC,PIA,0
experiment_a_with_time_features,logistic_regression,LEC,RUS,0
experiment_a_with_time_features,logistic_regression,LEC,SAI,2
experiment_a_with_time_features,logistic_regression,LEC,STR,1
experiment_a_with_time_features,logistic_regression,LEC,TSU,0
experiment_a_with_time_features,logistic_regression,LEC,VER,0
experiment_a_with_time_features,logistic_regression,NOR,ALB,0
experiment_a_with_time_features,logistic_regression,NOR,ALO,2
experiment_a_with_time_features,logistic_regression,NOR,GAS,6
experiment_a_with_time_features,logistic_regression,NOR,HAM,0
experiment_a_with_time_features,logistic_regression,NOR,HUL,3
experiment_a_with_time_features,logistic_regression,NOR,LEC,0
experiment_a_with_time_features,logistic_regression,NOR,NOR,18
experiment_a_with_time_features,logistic_regression,NOR,OCO,1
experiment_a_with_time_features,logistic_regression,NOR,PIA,17
experiment_a_with_time_features,logistic_regression,NOR,RUS,1
experiment_a_with_time_features,logistic_regression,NOR,SAI,0
experiment_a_with_time_features,logistic_regression,NOR,STR,1
experiment_a_with_time_features,logistic_regression,NOR,TSU,4
experiment_a_with_time_features,logistic_regression,NOR,VER,2
experiment_a_with_time_features,logistic_regression,OCO,ALB,1
experiment_a_with_time_features,logistic_regression,OCO,ALO,0
experiment_a_with_time_features,logistic_regression,OCO,GAS,4
experiment_a_with_time_features,logistic_regression,OCO,HAM,0
experiment_a_with_time_features,logistic_regression,OCO,HUL,3
experiment_a_with_time_features,logistic_regression,OCO,LEC,3
experiment_a_with_time_features,logistic_regression,OCO,NOR,0
experiment_a_with_time_features,logistic_regression,OCO,OCO,36
experiment_a_with_time_features,logistic_regression,OCO,PIA,0
experiment_a_with_time_features,logistic_regression,OCO,RUS,1
experiment_a_with_time_features,logistic_regression,OCO,SAI,5
experiment_a_with_time_features,logistic_regression,OCO,STR,0
experiment_a_with_time_features,logistic_regression,OCO,TSU,0
experiment_a_with_time_features,logistic_regression,OCO,VER,1
experiment_a_with_time_features,logistic_regression,PIA,ALB,2
experiment_a_with_time_features,logistic_regression,PIA,ALO,1
experiment_a_with_time_features,logistic_regression,PIA,GAS,1
experiment_a_with_time_features,logistic_regression,PIA,HAM,0
experiment_a_with_time_features,logistic_regression,PIA,HUL,0
experiment_a_with_time_features,logistic_regression,PIA,LEC,0
experiment_a_with_time_features,logistic_regression,PIA,NOR,15
experiment_a_with_time_features,logistic_regression,PIA,OCO,0
experiment_a_with_time_features,logistic_regression,PIA,PIA,33
experiment_a_with_time_features,logistic_regression,PIA,RUS,1
experiment_a_with_time_features,logistic_regression,PIA,SAI,0
experiment_a_with_time_features,logistic_regression,PIA,STR,1
experiment_a_with_time_features,logistic_regression,PIA,TSU,1
experiment_a_with_time_features,logistic_regression,PIA,VER,0
experiment_a_with_time_features,logistic_regression,RUS,ALB,4
experiment_a_with_time_features,logistic_regression,RUS,ALO,4
experiment_a_with_time_features,logistic_regression,RUS,GAS,1
experiment_a_with_time_features,logistic_regression,RUS,HAM,4
experiment_a_with_time_features,logistic_regression,RUS,HUL,4
experiment_a_with_time_features,logistic_regression,RUS,LEC,0
experiment_a_with_time_features,logistic_regression,RUS,NOR,1
experiment_a_with_time_features,logistic_regression,RUS,OCO,0
experiment_a_with_time_features,logistic_regression,RUS,PIA,1
experiment_a_with_time_features,logistic_regression,RUS,RUS,28
experiment_a_with_time_features,logistic_regression,RUS,SAI,2
experiment_a_with_time_features,logistic_regression,RUS,STR,3
experiment_a_with_time_features,logistic_regression,RUS,TSU,3
experiment_a_with_time_features,logistic_regression,RUS,VER,0
experiment_a_with_time_features,logistic_regression,SAI,ALB,4
experiment_a_with_time_features,logistic_regression,SAI,ALO,0
experiment_a_with_time_features,logistic_regression,SAI,GAS,0
experiment_a_with_time_features,logistic_regression,SAI,HAM,5
experiment_a_with_time_features,logistic_regression,SAI,HUL,5
experiment_a_with_time_features,logistic_regression,SAI,LEC,2
experiment_a_with_time_features,logistic_regression,SAI,NOR,0
experiment_a_with_time_features,logistic_regression,SAI,OCO,1
experiment_a_with_time_features,logistic_regression,SAI,PIA,0
experiment_a_with_time_features,logistic_regression,SAI,RUS,0
experiment_a_with_time_features,logistic_regression,SAI,SAI,37
experiment_a_with_time_features,logistic_regression,SAI,STR,0
experiment_a_with_time_features,logistic_regression,SAI,TSU,0
experiment_a_with_time_features,logistic_regression,SAI,VER,0
experiment_a_with_time_features,logistic_regression,STR,ALB,4
experiment_a_with_time_features,logistic_regression,STR,ALO,3
experiment_a_with_time_features,logistic_regression,STR,GAS,0
experiment_a_with_time_features,logistic_regression,STR,HAM,3
experiment_a_with_time_features,logistic_regression,STR,HUL,1
experiment_a_with_time_features,logistic_regression,STR,LEC,0
experiment_a_with_time_features,logistic_regression,STR,NOR,1
experiment_a_with_time_features,logistic_regression,STR,OCO,0
experiment_a_with_time_features,logistic_regression,STR,PIA,3
experiment_a_with_time_features,logistic_regression,STR,RUS,3
experiment_a_with_time_features,logistic_regression,STR,SAI,0
experiment_a_with_time_features,logistic_regression,STR,STR,32
experiment_a_with_time_features,logistic_regression,STR,TSU,1
experiment_a_with_time_features,logistic_regression,STR,VER,3
experiment_a_with_time_features,logistic_regression,TSU,ALB,1
experiment_a_with_time_features,logistic_regression,TSU,ALO,0
experiment_a_with_time_features,logistic_regression,TSU,GAS,5
experiment_a_with_time_features,logistic_regression,TSU,HAM,0
experiment_a_with_time_features,logistic_regression,TSU,HUL,1
experiment_a_with_time_features,logistic_regression,TSU,LEC,0
experiment_a_with_time_features,logistic_regression,TSU,NOR,3
experiment_a_with_time_features,logistic_regression,TSU,OCO,0
experiment_a_with_time_features,logistic_regression,TSU,PIA,1
experiment_a_with_time_features,logistic_regression,TSU,RUS,3
experiment_a_with_time_features,logistic_regression,TSU,SAI,0
experiment_a_with_time_features,logistic_regression,TSU,STR,0
experiment_a_with_time_features,logistic_regression,TSU,TSU,34
experiment_a_with_time_features,logistic_regression,TSU,VER,6
experiment_a_with_time_features,logistic_regression,VER,ALB,1
experiment_a_with_time_features,logistic_regression,VER,ALO,1
experiment_a_with_time_features,logistic_regression,VER,GAS,2
experiment_a_with_time_features,logistic_regression,VER,HAM,0
experiment_a_with_time_features,logistic_regression,VER,HUL,3
experiment_a_with_time_features,logistic_regression,VER,LEC,0
experiment_a_with_time_features,logistic_regression,VER,NOR,0
experiment_a_with_time_features,logistic_regression,VER,OCO,0
experiment_a_with_time_features,logistic_regression,VER,PIA,0
experiment_a_with_time_features,logistic_regression,VER,RUS,0
experiment_a_with_time_features,logistic_regression,VER,SAI,0
experiment_a_with_time_features,logistic_regression,VER,STR,0
experiment_a_with_time_features,logistic_regression,VER,TSU,5
experiment_a_with_time_features,logistic_regression,VER,VER,43
experiment_a_with_time_features,random_forest,ALB,ALB,20
experiment_a_with_time_features,random_forest,ALB,ALO,0
experiment_a_with_time_features,random_forest,ALB,GAS,1
experiment_a_with_time_features,random_forest,ALB,HAM,2
experiment_a_with_time_features,random_forest,ALB,HUL,10
experiment_a_with_time_features,random_forest,ALB,LEC,1
experiment_a_with_time_features,random_forest,ALB,NOR,1
experiment_a_with_time_features,random_forest,ALB,OCO,5
experiment_a_with_time_features,random_forest,ALB,PIA,0
experiment_a_with_time_features,random_forest,ALB,RUS,5
experiment_a_with_time_features,random_forest,ALB,SAI,3
experiment_a_with_time_features,random_forest,ALB,STR,0
experiment_a_with_time_features,random_forest,ALB,TSU,2
experiment_a_with_time_features,random_forest,ALB,VER,5
experiment_a_with_time_features,random_forest,ALO,ALB,3
experiment_a_with_time_features,random_forest,ALO,ALO,21
experiment_a_with_time_features,random_forest,ALO,GAS,0
experiment_a_with_time_features,random_forest,ALO,HAM,0
experiment_a_with_time_features,random_forest,ALO,HUL,4
experiment_a_with_time_features,random_forest,ALO,LEC,2
experiment_a_with_time_features,random_forest,ALO,NOR,4
experiment_a_with_time_features,random_forest,ALO,OCO,1
experiment_a_with_time_features,random_forest,ALO,PIA,8
experiment_a_with_time_features,random_forest,ALO,RUS,1
experiment_a_with_time_features,random_forest,ALO,SAI,0
experiment_a_with_time_features,random_forest,ALO,STR,11
experiment_a_with_time_features,random_forest,ALO,TSU,0
experiment_a_with_time_features,random_forest,ALO,VER,0
experiment_a_with_time_features,random_forest,GAS,ALB,0
experiment_a_with_time_features,random_forest,GAS,ALO,0
experiment_a_with_time_features,random_forest,GAS,GAS,11
experiment_a_with_time_features,random_forest,GAS,HAM,0
experiment_a_with_time_features,random_forest,GAS,HUL,4
experiment_a_with_time_features,random_forest,GAS,LEC,0
experiment_a_with_time_features,random_forest,GAS,NOR,1
experiment_a_with_time_features,random_forest,GAS,OCO,6
experiment_a_with_time_features,random_forest,GAS,PIA,0
experiment_a_with_time_features,random_forest,GAS,RUS,3
experiment_a_with_time_features,random_forest,GAS,SAI,2
experiment_a_with_time_features,random_forest,GAS,STR,0
experiment_a_with_time_features,random_forest,GAS,TSU,18
experiment_a_with_time_features,random_forest,GAS,VER,10
experiment_a_with_time_features,random_forest,HAM,ALB,6
experiment_a_with_time_features,random_forest,HAM,ALO,1
experiment_a_with_time_features,random_forest,HAM,GAS,0
experiment_a_with_time_features,random_forest,HAM,HAM,5
experiment_a_with_time_features,random_forest,HAM,HUL,9
experiment_a_with_time_features,random_forest,HAM,LEC,18
experiment_a_with_time_features,random_forest,HAM,NOR,0
experiment_a_with_time_features,random_forest,HAM,OCO,2
experiment_a_with_time_features,random_forest,HAM,PIA,0
experiment_a_with_time_features,random_forest,HAM,RUS,5
experiment_a_with_time_features,random_forest,HAM,SAI,4
experiment_a_with_time_features,random_forest,HAM,STR,3
experiment_a_with_time_features,random_forest,HAM,TSU,1
experiment_a_with_time_features,random_forest,HAM,VER,1
experiment_a_with_time_features,random_forest,HUL,ALB,7
experiment_a_with_time_features,random_forest,HUL,ALO,0
experiment_a_with_time_features,random_forest,HUL,GAS,3
experiment_a_with_time_features,random_forest,HUL,HAM,2
experiment_a_with_time_features,random_forest,HUL,HUL,17
experiment_a_with_time_features,random_forest,HUL,LEC,2
experiment_a_with_time_features,random_forest,HUL,NOR,3
experiment_a_with_time_features,random_forest,HUL,OCO,1
experiment_a_with_time_features,random_forest,HUL,PIA,0
experiment_a_with_time_features,random_forest,HUL,RUS,4
experiment_a_with_time_features,random_forest,HUL,SAI,0
experiment_a_with_time_features,random_forest,HUL,STR,0
experiment_a_with_time_features,random_forest,HUL,TSU,11
experiment_a_with_time_features,random_forest,HUL,VER,5
experiment_a_with_time_features,random_forest,LEC,ALB,1
experiment_a_with_time_features,random_forest,LEC,ALO,0
experiment_a_with_time_features,random_forest,LEC,GAS,0
experiment_a_with_time_features,random_forest,LEC,HAM,2
experiment_a_with_time_features,random_forest,LEC,HUL,0
experiment_a_with_time_features,random_forest,LEC,LEC,39
experiment_a_with_time_features,random_forest,LEC,NOR,1
experiment_a_with_time_features,random_forest,LEC,OCO,1
experiment_a_with_time_features,random_forest,LEC,PIA,0
experiment_a_with_time_features,random_forest,LEC,RUS,1
experiment_a_with_time_features,random_forest,LEC,SAI,5
experiment_a_with_time_features,random_forest,LEC,STR,5
experiment_a_with_time_features,random_forest,LEC,TSU,0
experiment_a_with_time_features,random_forest,LEC,VER,0
experiment_a_with_time_features,random_forest,NOR,ALB,1
experiment_a_with_time_features,random_forest,NOR,ALO,2
experiment_a_with_time_features,random_forest,NOR,GAS,4
experiment_a_with_time_features,random_forest,NOR,HAM,0
experiment_a_with_time_features,random_forest,NOR,HUL,2
experiment_a_with_time_features,random_forest,NOR,LEC,0
experiment_a_with_time_features,random_forest,NOR,NOR,6
experiment_a_with_time_features,random_forest,NOR,OCO,0
experiment_a_with_time_features,random_forest,NOR,PIA,26
experiment_a_with_time_features,random_forest,NOR,RUS,0
experiment_a_with_time_features,random_forest,NOR,SAI,0
experiment_a_with_time_features,random_forest,NOR,STR,6
experiment_a_with_time_features,random_forest,NOR,TSU,5
experiment_a_with_time_features,random_forest,NOR,VER,3
experiment_a_with_time_features,random_forest,OCO,ALB,3
experiment_a_with_time_features,random_forest,OCO,ALO,0
experiment_a_with_time_features,random_forest,OCO,GAS,4
experiment_a_with_time_features,random_forest,OCO,HAM,3
experiment_a_with_time_features,random_forest,OCO,HUL,3
experiment_a_with_time_features,random_forest,OCO,LEC,0
experiment_a_with_time_features,random_forest,OCO,NOR,1
experiment_a_with_time_features,random_forest,OCO,OCO,35
experiment_a_with_time_features,random_forest,OCO,PIA,0
experiment_a_with_time_features,random_forest,OCO,RUS,0
experiment_a_with_time_features,random_forest,OCO,SAI,3
experiment_a_with_time_features,random_forest,OCO,STR,1
experiment_a_with_time_features,random_forest,OCO,TSU,0
experiment_a_with_time_features,random_forest,OCO,VER,1
experiment_a_with_time_features,random_forest,PIA,ALB,1
experiment_a_with_time_features,random_forest,PIA,ALO,8
experiment_a_with_time_features,random_forest,PIA,GAS,3
experiment_a_with_time_features,random_forest,PIA,HAM,0
experiment_a_with_time_features,random_forest,PIA,HUL,0
experiment_a_with_time_features,random_forest,PIA,LEC,0
experiment_a_with_time_features,random_forest,PIA,NOR,15
experiment_a_with_time_features,random_forest,PIA,OCO,0
experiment_a_with_time_features,random_forest,PIA,PIA,20
experiment_a_with_time_features,random_forest,PIA,RUS,1
experiment_a_with_time_features,random_forest,PIA,SAI,0
experiment_a_with_time_features,random_forest,PIA,STR,6
experiment_a_with_time_features,random_forest,PIA,TSU,0
experiment_a_with_time_features,random_forest,PIA,VER,1
experiment_a_with_time_features,random_forest,RUS,ALB,9
experiment_a_with_time_features,random_forest,RUS,ALO,1
experiment_a_with_time_features,random_forest,RUS,GAS,8
experiment_a_with_time_features,random_forest,RUS,HAM,2
experiment_a_with_time_features,random_forest,RUS,HUL,10
experiment_a_with_time_features,random_forest,RUS,LEC,0
experiment_a_with_time_features,random_forest,RUS,NOR,1
experiment_a_with_time_features,random_forest,RUS,OCO,1
experiment_a_with_time_features,random_forest,RUS,PIA,0
experiment_a_with_time_features,random_forest,RUS,RUS,12
experiment_a_with_time_features,random_forest,RUS,SAI,2
experiment_a_with_time_features,random_forest,RUS,STR,0
experiment_a_with_time_features,random_forest,RUS,TSU,8
experiment_a_with_time_features,random_forest,RUS,VER,1
experiment_a_with_time_features,random_forest,SAI,ALB,9
experiment_a_with_time_features,random_forest,SAI,ALO,1
experiment_a_with_time_features,random_forest,SAI,GAS,1
experiment_a_with_time_features,random_forest,SAI,HAM,5
experiment_a_with_time_features,random_forest,SAI,HUL,2
experiment_a_with_time_features,random_forest,SAI,LEC,5
experiment_a_with_time_features,random_forest,SAI,NOR,0
experiment_a_with_time_features,random_forest,SAI,OCO,4
experiment_a_with_time_features,random_forest,SAI,PIA,1
experiment_a_with_time_features,random_forest,SAI,RUS,2
experiment_a_with_time_features,random_forest,SAI,SAI,17
experiment_a_with_time_features,random_forest,SAI,STR,6
experiment_a_with_time_features,random_forest,SAI,TSU,1
experiment_a_with_time_features,random_forest,SAI,VER,0
experiment_a_with_time_features,random_forest,STR,ALB,0
experiment_a_with_time_features,random_forest,STR,ALO,12
experiment_a_with_time_features,random_forest,STR,GAS,0
experiment_a_with_time_features,random_forest,STR,HAM,1
experiment_a_with_time_features,random_forest,STR,HUL,0
experiment_a_with_time_features,random_forest,STR,LEC,5
experiment_a_with_time_features,random_forest,STR,NOR,3
experiment_a_with_time_features,random_forest,STR,OCO,1
experiment_a_with_time_features,random_forest,STR,PIA,7
experiment_a_with_time_features,random_forest,STR,RUS,0
experiment_a_with_time_features,random_forest,STR,SAI,2
experiment_a_with_time_features,random_forest,STR,STR,23
experiment_a_with_time_features,random_forest,STR,TSU,0
experiment_a_with_time_features,random_forest,STR,VER,0
experiment_a_with_time_features,random_forest,TSU,ALB,2
experiment_a_with_time_features,random_forest,TSU,ALO,0
experiment_a_with_time_features,random_forest,TSU,GAS,10
experiment_a_with_time_features,random_forest,TSU,HAM,0
experiment_a_with_time_features,random_forest,TSU,HUL,7
experiment_a_with_time_features,random_forest,TSU,LEC,0
experiment_a_with_time_features,random_forest,TSU,NOR,0
experiment_a_with_time_features,random_forest,TSU,OCO,1
experiment_a_with_time_features,random_forest,TSU,PIA,0
experiment_a_with_time_features,random_forest,TSU,RUS,4
experiment_a_with_time_features,random_forest,TSU,SAI,0
experiment_a_with_time_features,random_forest,TSU,STR,0
experiment_a_with_time_features,random_forest,TSU,TSU,19
experiment_a_with_time_features,random_forest,TSU,VER,11
experiment_a_with_time_features,random_forest,VER,ALB,3
experiment_a_with_time_features,random_forest,VER,ALO,0
experiment_a_with_time_features,random_forest,VER,GAS,9
experiment_a_with_time_features,random_forest,VER,HAM,0
experiment_a_with_time_features,random_forest,VER,HUL,6
experiment_a_with_time_features,random_forest,VER,LEC,0
experiment_a_with_time_features,random_forest,VER,NOR,1
experiment_a_with_time_features,random_forest,VER,OCO,2
experiment_a_with_time_features,random_forest,VER,PIA,0
experiment_a_with_time_features,random_forest,VER,RUS,2
experiment_a_with_time_features,random_forest,VER,SAI,0
experiment_a_with_time_features,random_forest,VER,STR,0
experiment_a_with_time_features,random_forest,VER,TSU,11
experiment_a_with_time_features,random_forest,VER,VER,21
experiment_a_with_time_features,hist_gradient_boosting,ALB,ALB,27
experiment_a_with_time_features,hist_gradient_boosting,ALB,ALO,0
experiment_a_with_time_features,hist_gradient_boosting,ALB,GAS,1
experiment_a_with_time_features,hist_gradient_boosting,ALB,HAM,2
experiment_a_with_time_features,hist_gradient_boosting,ALB,HUL,7
experiment_a_with_time_features,hist_gradient_boosting,ALB,LEC,1
experiment_a_with_time_features,hist_gradient_boosting,ALB,NOR,1
experiment_a_with_time_features,hist_gradient_boosting,ALB,OCO,3
experiment_a_with_time_features,hist_gradient_boosting,ALB,PIA,1
experiment_a_with_time_features,hist_gradient_boosting,ALB,RUS,2
experiment_a_with_time_features,hist_gradient_boosting,ALB,SAI,6
experiment_a_with_time_features,hist_gradient_boosting,ALB,STR,0
experiment_a_with_time_features,hist_gradient_boosting,ALB,TSU,1
experiment_a_with_time_features,hist_gradient_boosting,ALB,VER,3
experiment_a_with_time_features,hist_gradient_boosting,ALO,ALB,1
experiment_a_with_time_features,hist_gradient_boosting,ALO,ALO,27
experiment_a_with_time_features,hist_gradient_boosting,ALO,GAS,0
experiment_a_with_time_features,hist_gradient_boosting,ALO,HAM,1
experiment_a_with_time_features,hist_gradient_boosting,ALO,HUL,1
experiment_a_with_time_features,hist_gradient_boosting,ALO,LEC,1
experiment_a_with_time_features,hist_gradient_boosting,ALO,NOR,4
experiment_a_with_time_features,hist_gradient_boosting,ALO,OCO,1
experiment_a_with_time_features,hist_gradient_boosting,ALO,PIA,5
experiment_a_with_time_features,hist_gradient_boosting,ALO,RUS,2
experiment_a_with_time_features,hist_gradient_boosting,ALO,SAI,0
experiment_a_with_time_features,hist_gradient_boosting,ALO,STR,10
experiment_a_with_time_features,hist_gradient_boosting,ALO,TSU,0
experiment_a_with_time_features,hist_gradient_boosting,ALO,VER,2
experiment_a_with_time_features,hist_gradient_boosting,GAS,ALB,2
experiment_a_with_time_features,hist_gradient_boosting,GAS,ALO,0
experiment_a_with_time_features,hist_gradient_boosting,GAS,GAS,17
experiment_a_with_time_features,hist_gradient_boosting,GAS,HAM,0
experiment_a_with_time_features,hist_gradient_boosting,GAS,HUL,2
experiment_a_with_time_features,hist_gradient_boosting,GAS,LEC,0
experiment_a_with_time_features,hist_gradient_boosting,GAS,NOR,2
experiment_a_with_time_features,hist_gradient_boosting,GAS,OCO,7
experiment_a_with_time_features,hist_gradient_boosting,GAS,PIA,1
experiment_a_with_time_features,hist_gradient_boosting,GAS,RUS,5
experiment_a_with_time_features,hist_gradient_boosting,GAS,SAI,1
experiment_a_with_time_features,hist_gradient_boosting,GAS,STR,0
experiment_a_with_time_features,hist_gradient_boosting,GAS,TSU,15
experiment_a_with_time_features,hist_gradient_boosting,GAS,VER,3
experiment_a_with_time_features,hist_gradient_boosting,HAM,ALB,7
experiment_a_with_time_features,hist_gradient_boosting,HAM,ALO,0
experiment_a_with_time_features,hist_gradient_boosting,HAM,GAS,0
experiment_a_with_time_features,hist_gradient_boosting,HAM,HAM,19
experiment_a_with_time_features,hist_gradient_boosting,HAM,HUL,3
experiment_a_with_time_features,hist_gradient_boosting,HAM,LEC,10
experiment_a_with_time_features,hist_gradient_boosting,HAM,NOR,0
experiment_a_with_time_features,hist_gradient_boosting,HAM,OCO,0
experiment_a_with_time_features,hist_gradient_boosting,HAM,PIA,0
experiment_a_with_time_features,hist_gradient_boosting,HAM,RUS,7
experiment_a_with_time_features,hist_gradient_boosting,HAM,SAI,5
experiment_a_with_time_features,hist_gradient_boosting,HAM,STR,3
experiment_a_with_time_features,hist_gradient_boosting,HAM,TSU,0
experiment_a_with_time_features,hist_gradient_boosting,HAM,VER,1
experiment_a_with_time_features,hist_gradient_boosting,HUL,ALB,5
experiment_a_with_time_features,hist_gradient_boosting,HUL,ALO,0
experiment_a_with_time_features,hist_gradient_boosting,HUL,GAS,2
experiment_a_with_time_features,hist_gradient_boosting,HUL,HAM,1
experiment_a_with_time_features,hist_gradient_boosting,HUL,HUL,23
experiment_a_with_time_features,hist_gradient_boosting,HUL,LEC,1
experiment_a_with_time_features,hist_gradient_boosting,HUL,NOR,3
experiment_a_with_time_features,hist_gradient_boosting,HUL,OCO,1
experiment_a_with_time_features,hist_gradient_boosting,HUL,PIA,0
experiment_a_with_time_features,hist_gradient_boosting,HUL,RUS,5
experiment_a_with_time_features,hist_gradient_boosting,HUL,SAI,2
experiment_a_with_time_features,hist_gradient_boosting,HUL,STR,0
experiment_a_with_time_features,hist_gradient_boosting,HUL,TSU,7
experiment_a_with_time_features,hist_gradient_boosting,HUL,VER,5
experiment_a_with_time_features,hist_gradient_boosting,LEC,ALB,0
experiment_a_with_time_features,hist_gradient_boosting,LEC,ALO,0
experiment_a_with_time_features,hist_gradient_boosting,LEC,GAS,0
experiment_a_with_time_features,hist_gradient_boosting,LEC,HAM,5
experiment_a_with_time_features,hist_gradient_boosting,LEC,HUL,0
experiment_a_with_time_features,hist_gradient_boosting,LEC,LEC,40
experiment_a_with_time_features,hist_gradient_boosting,LEC,NOR,0
experiment_a_with_time_features,hist_gradient_boosting,LEC,OCO,2
experiment_a_with_time_features,hist_gradient_boosting,LEC,PIA,0
experiment_a_with_time_features,hist_gradient_boosting,LEC,RUS,0
experiment_a_with_time_features,hist_gradient_boosting,LEC,SAI,4
experiment_a_with_time_features,hist_gradient_boosting,LEC,STR,4
experiment_a_with_time_features,hist_gradient_boosting,LEC,TSU,0
experiment_a_with_time_features,hist_gradient_boosting,LEC,VER,0
experiment_a_with_time_features,hist_gradient_boosting,NOR,ALB,0
experiment_a_with_time_features,hist_gradient_boosting,NOR,ALO,4
experiment_a_with_time_features,hist_gradient_boosting,NOR,GAS,2
experiment_a_with_time_features,hist_gradient_boosting,NOR,HAM,0
experiment_a_with_time_features,hist_gradient_boosting,NOR,HUL,2
experiment_a_with_time_features,hist_gradient_boosting,NOR,LEC,0
experiment_a_with_time_features,hist_gradient_boosting,NOR,NOR,8
experiment_a_with_time_features,hist_gradient_boosting,NOR,OCO,0
experiment_a_with_time_features,hist_gradient_boosting,NOR,PIA,21
experiment_a_with_time_features,hist_gradient_boosting,NOR,RUS,3
